Date,Temperature,Humidity,CH4,CO2,H2S,NH3,pH,RED,GREEN,BLUE
5/17/2025 23:15,31.6,80.9,6.15,339.76,2.08,0.08,9.98,158,0,46
5/17/2025 23:16,31.6,80.8,4.72,385.64,2.21,0.07,10.01,153,0,43
5/17/2025 23:17,31.6,80.5,3.34,405.64,2.22,0.06,9.79,161,0,55
5/17/2025 23:18,31.6,82.7,3.07,441.01,2.36,0.05,9.77,165,7,63
5/17/2025 23:19,31.6,84,2.24,463.44,2.36,0.04,9.76,167,11,68
5/17/2025 23:20,31.6,84.7,1.89,461.3,2.41,0.04,9.78,166,11,65
5/17/2025 23:21,31.7,85.5,1.62,479.26,2.2,0.04,9.76,166,9,58
5/17/2025 23:22,31.8,86.1,1.43,487.1,2.28,0.03,9.74,167,16,62
5/17/2025 23:23,31.8,86.5,1.3,488.8,2.23,0.03,9.79,168,17,63
5/17/2025 23:24,31.9,87,1.17,486.54,2.13,0.03,9.82,168,17,66
5/17/2025 23:25,32,87.4,1.07,479.26,2.01,0.03,9.86,168,19,63
5/17/2025 23:26,32.1,87.8,0.98,474.3,1.89,0.03,9.92,168,17,67
5/17/2025 23:27,32.1,88,0.95,471.02,1.8,0.03,9.92,167,16,65
5/17/2025 23:28,32.2,88.3,0.88,443.08,1.61,0.02,10,163,8,62
5/17/2025 23:29,32.2,88.4,0.85,435.45,1.53,0.02,10,163,8,58
5/17/2025 23:30,32.3,88.7,0.83,437.49,1.44,0.02,10,164,7,61
5/17/2025 23:31,32.3,88.8,0.81,439.48,1.38,0.02,10.01,167,4,54
5/17/2025 23:32,32.3,89,0.8,443.55,1.33,0.02,10,162,2,53
5/17/2025 23:33,32.4,89.1,0.78,438.5,1.25,0.02,10,161,4,58
5/17/2025 23:34,32.4,89.3,0.77,423.1,1.16,0.02,10.02,160,0,55
5/17/2025 23:35,32.4,89.5,0.74,407.46,1.09,0.02,10.1,159,0,45
5/17/2025 23:36,32.4,89.7,0.69,357.75,0.95,0.02,10.21,150,0,30
5/17/2025 23:37,32.4,90,0.7,377.2,0.95,0.02,10.05,162,0,51
5/17/2025 23:38,32.4,90.1,0.72,395.13,0.96,0.02,10.14,152,0,44
