Date,Temperature,Humidity,CH4,CO2,H2S,NH3,pH,RED,GREEN,BLUE
5/17/2025 23:35,32.4,89.5,0.74,407.46,1.09,0.02,10.1,159.0,0.0,45.0
5/17/2025 23:36,32.4,89.7,0.69,357.75,0.95,0.02,10.21,150.0,0.0,30.0
5/17/2025 23:37,32.4,90.0,0.7,377.2,0.95,0.02,10.05,162.0,0.0,51.0
5/17/2025 23:38,32.4,90.1,0.72,395.13,0.96,0.02,10.14,152.0,0.0,44.0
5/17/2025 23:39,32.5,90.3,0.68,355.71,0.86,0.02,10.16,153.0,0.0,36.0
5/17/2025 23:40,32.5,90.5,0.67,350.84,0.83,0.02,10.15,154.0,0.0,36.0
5/17/2025 23:41,32.5,90.7,0.68,363.52,0.83,0.02,10.21,150.0,0.0,37.0
5/17/2025 23:42,32.5,90.8,0.65,396.12,0.87,0.02,10.1,153.0,0.0,44.0
5/17/2025 23:43,32.5,90.9,0.65,378.21,0.82,0.02,10.12,153.0,0.0,39.0
5/17/2025 23:44,32.5,91.0,0.65,365.52,0.78,0.02,10.09,149.0,0.0,34.0
5/17/2025 23:45,32.5,91.2,0.67,382.11,0.79,0.02,10.14,153.0,0.0,46.0
5/17/2025 23:46,32.5,91.3,0.66,381.27,0.78,0.02,10.16,159.0,0.0,34.0
5/17/2025 23:47,32.5,91.4,0.64,361.41,0.73,0.02,10.2,148.0,0.0,27.0
5/17/2025 23:48,32.5,91.5,0.71,426.58,0.81,0.02,10.03,156.0,0.0,50.0
5/17/2025 23:49,32.5,91.6,0.68,390.83,0.74,0.02,10.14,152.0,0.0,40.0
5/17/2025 23:50,32.5,91.8,0.68,381.27,0.72,0.02,10.16,153.0,0.0,47.0
5/17/2025 23:51,32.5,91.9,0.68,379.47,0.71,0.02,10.15,150.0,0.0,40.0
5/17/2025 23:52,32.5,92.0,0.67,362.95,0.67,0.02,10.13,150.0,0.0,33.0
5/17/2025 23:53,32.5,92.1,0.7,377.42,0.68,0.02,10.09,150.0,0.0,35.0
5/17/2025 23:54,32.5,92.2,0.71,387.45,0.68,0.02,9.97,153.0,0.0,42.0
5/17/2025 23:55,32.5,92.3,0.71,392.77,0.68,0.02,10.08,150.0,0.0,37.0
5/17/2025 23:56,32.5,92.4,0.7,384.77,0.66,0.02,10.0,156.0,0.0,40.0
5/17/2025 23:57,32.5,92.4,0.73,424.85,0.69,0.02,9.93,166.0,0.0,49.0
5/17/2025 23:58,32.6,92.5,0.74,436.63,0.7,0.02,10.0,158.0,0.0,47.0
5/17/2025 23:59,32.6,92.5,0.72,418.3,0.66,0.02,9.92,157.0,0.0,39.0
5/18/2025 0:00,32.6,92.6,0.72,414.46,0.65,0.02,9.9,150.0,0.0,41.0
5/18/2025 0:01,32.6,92.7,0.71,397.27,0.62,0.02,9.99,148.0,0.0,33.0
5/18/2025 0:02,32.6,92.7,0.69,391.0,0.6,0.02,10.15,153.0,0.0,35.0
5/18/2025 0:03,32.6,92.8,0.74,400.98,0.61,0.02,9.87,143.0,0.0,19.0
5/18/2025 0:04,32.6,92.9,0.71,373.46,0.58,0.02,10.05,145.0,0.0,32.0
5/18/2025 0:05,32.6,92.9,0.78,428.61,0.63,0.03,9.87,149.0,0.0,38.0
5/18/2025 0:06,32.6,93.0,0.81,443.73,0.64,0.03,9.61,152.0,0.0,40.0
5/18/2025 0:07,32.6,93.0,0.8,444.1,0.63,0.02,9.69,149.0,0.0,38.0
5/18/2025 0:08,32.6,93.0,0.8,421.76,0.6,0.03,9.79,140.0,0.0,19.0
5/18/2025 0:09,32.6,93.1,0.78,416.4,0.59,0.03,9.81,142.0,0.0,23.0
5/18/2025 0:11,32.6,93.2,0.82,413.68,0.58,0.02,9.6,144.0,0.0,20.0
5/18/2025 0:12,32.6,93.2,0.82,428.73,0.59,0.02,9.76,147.0,0.0,23.0
5/18/2025 0:13,32.6,93.3,0.82,425.12,0.58,0.02,9.68,141.0,0.0,18.0
5/18/2025 0:14,32.6,93.3,0.82,431.08,0.58,0.02,9.8,143.0,0.0,21.0
5/18/2025 0:15,32.6,93.4,0.85,435.56,0.59,0.02,9.57,141.0,0.0,21.0
5/18/2025 0:20,32.6,93.6,0.89,451.54,0.57,0.02,9.45,143.0,0.0,18.0
5/18/2025 0:22,32.7,93.8,0.86,464.05,0.57,0.02,9.63,149.0,0.0,29.0
5/18/2025 0:26,32.7,93.9,0.83,435.55,0.53,0.02,9.79,142.0,0.0,32.0
5/18/2025 0:27,32.7,94.0,0.83,419.26,0.51,0.02,9.63,135.0,0.0,19.0
5/18/2025 0:29,32.7,94.1,0.84,438.55,0.52,0.02,9.53,141.0,0.0,26.0
5/18/2025 0:30,32.7,94.1,0.9,458.8,0.54,0.02,9.54,145.0,0.0,31.0
5/18/2025 0:31,32.7,94.1,0.9,452.93,0.53,0.02,9.5,142.0,0.0,33.0
5/18/2025 0:32,32.7,94.2,0.85,444.07,0.51,0.02,9.65,142.0,0.0,29.0
5/18/2025 0:33,32.7,94.2,0.84,427.52,0.49,0.02,9.72,147.0,0.0,27.0
5/18/2025 0:34,32.7,94.2,0.79,394.96,0.46,0.02,9.84,141.0,0.0,18.0
5/18/2025 0:36,32.7,94.3,0.84,415.64,0.48,0.02,9.69,144.0,0.0,28.0
5/18/2025 0:37,32.7,94.3,0.86,419.78,0.48,0.02,9.61,137.0,0.0,21.0
5/18/2025 0:38,32.7,94.4,0.85,420.54,0.48,0.02,9.73,140.0,0.0,25.0
5/18/2025 0:39,32.7,94.4,0.88,438.72,0.49,0.02,9.89,140.0,0.0,29.0
5/18/2025 0:49,32.7,94.8,0.8,391.41,0.43,0.02,9.9,136.0,0.0,22.0
5/18/2025 0:50,32.7,94.8,0.83,405.06,0.44,0.02,9.87,139.0,0.0,32.0
5/18/2025 0:52,32.7,94.8,0.83,391.04,0.43,0.02,10.4,160.0,12.0,60.0
5/18/2025 0:53,32.7,94.9,0.82,390.86,0.42,0.02,9.76,137.0,0.0,33.0
5/18/2025 0:55,32.7,94.9,0.8,381.87,0.4,0.02,9.89,130.0,0.0,23.0
5/18/2025 0:56,32.7,94.9,0.83,409.31,0.42,0.02,9.8,140.0,0.0,30.0
5/18/2025 0:57,32.7,95.0,0.85,421.77,0.42,0.02,9.86,148.0,0.0,42.0
5/18/2025 0:58,32.7,95.0,0.82,393.93,0.41,0.02,9.88,139.0,0.0,31.0
5/18/2025 0:59,32.7,95.1,0.84,401.37,0.41,0.02,9.76,132.0,0.0,28.0
5/18/2025 1:00,32.7,95.1,0.84,380.57,0.4,0.02,9.76,129.0,0.0,23.0
5/18/2025 1:01,32.7,95.1,0.89,400.99,0.41,0.02,9.66,131.0,0.0,17.0
5/18/2025 1:02,32.7,95.1,0.93,405.11,0.42,0.02,9.96,144.0,0.0,49.0
5/18/2025 1:03,32.7,95.0,0.88,399.8,0.41,0.02,9.84,133.0,0.0,27.0
